10000 293
20000 384
30000 593
40000 769
50000 909
60000 1036
70000 1265
80000 1385
90000 1518
100000 1701
110000 2012
120000 1994
130000 2160
140000 2325
150000 2504
160000 2748
170000 2852
180000 3004
190000 3263
200000 3449
210000 3951
220000 3640
230000 3860
240000 4007
250000 4138
260000 4350
270000 4437
280000 4672
290000 4879
300000 5026
310000 5319
320000 5336
330000 5530
340000 5637
350000 5888
360000 5992
370000 6212
380000 6255
390000 6498
400000 6960
410000 6901
420000 7038
430000 7420
440000 7669
450000 8300
460000 8436
470000 8645
480000 8833
490000 8987
500000 9456
510000 9473
520000 9671
530000 9867
540000 10208
550000 10157
560000 10371
570000 10483
580000 10736
590000 10794
600000 10988
610000 11170
620000 11590
630000 11653
640000 12118
650000 12231
660000 12012
670000 12180
680000 12290
690000 12556
700000 12713
710000 12826
720000 13071
730000 13268
740000 13418
750000 13919
760000 13921
770000 14106
780000 14267
790000 14779
800000 14665
810000 14913
820000 15110
830000 15735
840000 15702
850000 15700
860000 15688
870000 15896
880000 16118
890000 16260
900000 16514
910000 18844
920000 16992
930000 17064
940000 17297
950000 18508
960000 17800
970000 17896
980000 18141
990000 18393
1000000 18674
