10000 279
20000 443
30000 572
40000 730
50000 892
60000 1068
70000 1199
80000 1337
90000 1567
100000 1658
110000 1871
120000 1984
130000 2480
140000 2329
150000 2551
160000 2631
170000 2858
180000 3021
190000 3334
200000 3391
210000 3442
220000 3845
230000 3826
240000 3973
250000 4207
260000 4351
270000 4668
280000 4740
290000 4768
300000 5069
310000 5363
320000 5351
330000 5492
340000 5671
350000 5935
360000 5977
370000 6065
380000 6415
390000 6550
400000 6782
410000 6896
420000 7159
430000 7180
440000 7575
450000 8066
460000 8852
470000 9003
480000 9066
490000 8981
500000 9427
510000 9443
520000 9403
530000 9809
540000 10050
550000 10116
560000 10209
570000 10539
580000 10627
590000 10678
600000 10881
610000 11062
620000 11163
630000 11751
640000 11621
650000 11594
660000 12268
670000 12172
680000 12356
690000 12510
700000 12788
710000 13014
720000 13142
730000 13120
740000 13627
750000 13724
760000 13861
770000 13943
780000 13998
790000 14226
800000 14549
810000 14855
820000 14842
830000 14828
840000 15037
850000 15264
860000 15727
870000 15677
880000 15761
890000 16057
900000 16159
910000 16427
920000 16612
930000 16821
940000 17519
950000 17389
960000 17322
970000 17412
980000 17798
990000 17914
1000000 18077
